DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES
2024-02-01,642.75,652.95,633.25,640.5,648.5,647.65,644.85,660.4,499.35,26587707,17145097528.6,341287
2024-01-31,626.4,643.2,622.0,626.75,641.55,640.5,634.65,660.4,499.35,23270745,14768784599.55,331696
2024-01-30,625.45,633.5,624.2,622.95,625.5,626.75,628.36,660.4,499.35,16966577,10661120748.15,340803
2024-01-29,619.0,629.5,615.6,612.75,624.2,622.95,622.28,660.4,499.35,19572140,12179266716.9,375931
2024-01-25,618.5,623.8,606.25,618.3,615.0,612.75,612.47,660.4,499.35,22684904,13893936068.05,295756
2024-01-24,609.95,622.35,603.1,605.1,618.0,618.3,615.78,660.4,499.35,19221835,11836460488.35,274606
2024-01-23,627.0,634.9,600.65,631.4,606.0,605.1,613.88,660.4,499.35,30954343,19002405937.25,409569
2024-01-20,629.0,633.8,624.1,627.75,631.0,631.4,628.99,660.4,499.35,9886760,6218702860.5,133765
2024-01-19,633.0,635.5,624.7,628.3,628.7,627.75,629.47,660.4,499.35,11675202,7349140974.3,208754
2024-01-18,625.8,633.45,619.05,626.0,628.5,628.3,627.46,660.4,499.35,14695436,9220794332.4,239183
2024-01-17,624.0,636.8,623.0,636.9,626.45,626.0,628.6,660.4,499.35,30016308,18868396654.85,428458
2024-01-16,640.0,644.9,633.45,640.1,637.55,636.9,639.72,660.4,499.35,15025543,9612187789.45,253396
2024-01-15,638.9,645.5,636.1,633.6,640.8,640.1,640.23,660.4,499.35,16844018,10784099571.95,300031
2024-01-12,623.8,636.5,621.1,620.2,635.25,633.6,630.54,660.4,499.35,16620797,10480104627.65,302558
2024-01-11,626.0,627.15,618.5,621.75,621.25,620.2,621.85,660.4,499.35,15533860,9659792551.1,284550
2024-01-10,624.8,625.3,618.2,625.4,622.0,621.75,622.15,660.4,499.35,12742464,7927674893.1,213657
2024-01-09,632.0,634.35,624.5,627.0,625.95,625.4,629.7,660.4,499.35,13400235,8438088899.05,236123
2024-01-08,640.0,645.0,625.05,641.95,627.9,627.0,633.49,660.4,499.35,14739531,9337325175.95,336839
2024-01-05,645.0,651.75,637.75,642.75,641.45,641.95,645.02,660.4,499.35,15984585,10310453920.0,272662
2024-01-04,642.5,646.4,638.65,643.45,643.6,642.75,642.95,660.4,499.35,13883388,8926355539.75,271568
2024-01-03,639.35,648.0,635.8,639.45,644.5,643.45,643.21,660.4,499.35,14571772,9372732858.9,252225
2024-01-02,641.35,648.0,633.85,641.35,639.2,639.45,640.47,660.4,499.35,15164482,9712346967.95,249803
2024-01-01,642.2,646.9,638.0,642.05,638.1,641.35,643.93,660.4,499.35,8295548,5341716373.3,257804
2023-12-29,645.5,649.6,639.55,651.4,641.7,642.05,642.49,660.4,499.35,13221898,8494932618.15,332467
2023-12-28,650.25,653.3,646.5,648.55,649.3,651.4,650.46,660.4,499.35,16982092,11046112701.5,301058
2023-12-27,640.75,649.45,639.0,638.05,648.65,648.55,645.18,660.4,499.35,14417646,9301972173.2,295473
2023-12-26,638.85,641.3,635.65,636.75,638.5,638.05,639.19,660.4,499.35,10153089,6489768989.95,298625
2023-12-22,644.75,649.4,635.15,643.75,637.2,636.75,642.31,660.4,499.35,14998068,9633365890.05,307210
2023-12-21,632.15,648.95,627.5,636.45,644.0,643.75,639.02,660.4,499.35,19915516,12726451072.85,347188
2023-12-20,658.7,660.4,633.95,655.4,634.55,636.45,647.91,660.4,499.35,22542056,14605196613.65,419233
2023-12-19,648.5,659.6,640.25,648.5,656.0,655.4,652.88,659.6,499.35,19964008,13034125974.85,384049
2023-12-18,646.65,655.65,642.4,648.25,647.6,648.5,650.04,655.65,499.35,16221796,10544832650.95,347590
2023-12-15,628.0,650.0,619.85,623.65,648.3,648.25,638.08,650.0,499.35,29813572,19023430389.9,433979
2023-12-14,626.0,627.75,622.4,619.85,623.65,623.65,624.37,629.55,499.35,15813797,9873663687.1,336921
2023-12-13,614.45,620.5,611.65,612.4,619.0,619.85,616.9,629.55,499.35,13977914,8622977354.1,279821
2023-12-12,617.0,617.95,610.8,614.25,612.05,612.4,613.75,629.55,499.35,14494836,8896194867.15,282774
2023-12-11,615.0,619.9,613.1,614.15,614.2,614.25,615.99,629.55,499.35,11706255,7210878840.8,285158
2023-12-08,610.0,616.8,605.35,611.7,614.5,614.15,610.67,629.55,499.35,17722136,10822316306.2,294891
2023-12-07,610.0,612.55,605.0,608.45,611.5,611.7,609.73,629.55,499.35,10725706,6539746289.5,248309
2023-12-06,614.0,614.0,604.55,608.25,607.7,608.45,609.96,629.55,499.35,21439069,13076949822.2,273409
